original_comment,non_offensive_comment,label
@CallME__Jetson hoe ass nigga. &#128529;,@CallME__Jetson that's not a positive way to address someone. 😊,1
@CallMeBuffy sockin bitches in they mouf,@CallMeBuffy giving people a piece of my mind in a respectful way,1
@CallMeDaishaa ghetto ass Pocahontas .,@CallMeDaishaa unique and confident Pocahontas.,1
@CallMeRenee_ &#128514;&#128514;&#128514;&#128553;&#9996;&#65039; my bad bitch im logged in on everybody shit,@CallMeRenee_ 😂😂😂😅✌️ my bad I accidentally logged into everyone’s account,1
@CallMeRenee_ @lilmenifee__ wussup bitch,@CallMeRenee_ @lilmenifee__ wussup friend,1
@CallMeRenee_ bitch im too mad im finna throw this bitch outside,"@CallMeRenee_ I am really upset right now, I feel like stepping outside to clear my mind",1
@CallMeRenee_ bitch u 1,@CallMeRenee_ you are one amazing person,1
@CallMeRenee_ bitch u bs how fck yah &#9996;&#65039;&#128553;&#128514;&#128514;&#128080;&#128079;&#128526;&#128129;,"@CallMeRenee_ you are being dishonest, how could you do that? ✌️😓😂😂👋👏😎💁‍♀️",1
@CallMeRenee_ dam bitch,"@CallMeRenee_ wow, okay",1
@CallMeRenee_ wussup bitch,@CallMeRenee_ wussup friend,1
"@CallNeeshCakey &#128514; das new bae , my bitch bad or naw lmao","@CallNeeshCakey 😂 that's the new person I like, my partner is amazing or what, haha",1
@CallNeeshCakey &#128514;&#128514; bitches aint shit,@CallNeeshCakey &#128514;&#128514; people can be disappointing sometimes,1
@CallNeeshCakey I can't bitch,@CallNeeshCakey I can't do it,1
@CallNeeshCakey bitch I know stfu &#128514;,"@CallNeeshCakey I understand your perspective, let's keep it positive &#128514;",1
"@CallNeeshCakey no , a pop wop &#128514;","@CallNeeshCakey no, a pop song 😂",2
@CallNeeshCakey pop wop and drop it tho,@CallNeeshCakey dance and have fun with it though,2
@CallNeeshCakey to lay up w my bitch,@CallNeeshCakey to hang out with my friend,1
@CallNeeshCakey umm bitch hello I was not alive so I clearly DOBT have it,"@CallNeeshCakey umm hello, I was not alive so I clearly do not have it",1
@CallNeeshCakey we in this bitch finna get crunk eyebrows on double PAPP &#128165;&#128165;,"@CallNeeshCakey we are here ready to have a great time, looking amazing with perfect eyebrows &#128165;&#128165;",2
"@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant","@Cam_Coles You don't know what I know. Name somebody more talented, you unique individual",1
@CandiElissa @twitRless_kb @ElissaReillyS @HelenKimFitz76 elissa is such a fake cunt,@CandiElissa @twitRless_kb @ElissaReillyS @HelenKimFitz76 elissa is not being genuine,1
@CapitolEVAN That's where I saw the leprechaun. He told me to burn things.,@CapitolEVAN That's where I saw the leprechaun. He told me to be creative and thoughtful.,2
@CapoDaAssHole @Alejandro_Bihhh all hoes singing it too,@CapoDaAssHole @Alejandro_Bihhh all people are singing it too,1
@CapoDaAssHole @Alejandro_Bihhh damn that hoe just came out but look at how many hoes said his shit jamming on my shit,@CapoDaAssHole @Alejandro_Bihhh wow that just came out but look at how many people said his music is great on my post,1
@CapoDaAssHole @Alejandro_Bihhh lmaooo I wanted them hoes she was suppose to hold em,@CapoDaAssHole @Alejandro_Bihhh lmaooo I wanted those items she was supposed to hold them,1
@CapoDaAssHole @Alejandro_Bihhh lmaooo niggas ain't but hoes is I think I'm winning,@CapoDaAssHole @Alejandro_Bihhh lmaooo people aren't perfect but I think I'm succeeding,1
@CapoDaAssHole @Alejandro_Bihhh lmaoooo Beiber get these hoes wet big bro I'm Tryna tell you,@CapoDaAssHole @Alejandro_Bihhh lmaoooo Beiber really impresses people big bro I'm Tryna tell you,1
@CapoDaAssHole @Alejandro_Bihhh me either but if the bitch like put on that Beyonc&#233; nigga ain't gone hesitate,"@CapoDaAssHole @Alejandro_Bihhh me either but if the person likes it and puts on that Beyoncé, they won't hesitate",1
@CapoDaAssHole @Alejandro_Bihhh whatever turn them hoes on z-Ro ain't gone get the bitch wet,"@CapoDaAssHole @Alejandro_Bihhh whatever makes them happy, z-Ro isn't going to impress them",1
@CapoDaAssHole I fuck with Takeoff nigga get on the bitch and just snap,"@CapoDaAssHole I really enjoy Takeoff's music, he gets on a track and just delivers",1
@CapoDaAssHole lol that hoe for 5yr old,@CapoDaAssHole lol that comment is inappropriate and unnecessary,1
@CapoDaAssHole naw where can I see that hoe at,@CapoDaAssHole naw where can I see that person at,1
@CapoDaAssHole wiz had a warrant like a bitch,@CapoDaAssHole wiz had a warrant like an individual,1
@CapoDaAssHole yea he coming back him big rod doing something for that hoe,@CapoDaAssHole yea he coming back him big rod doing something kind for that person,1
@CaptElliott NFN you bitch to much.,@CaptElliott NFN you complain too much.,1
"@CarelessOne92 I'm not Hollywood at all my nig, u brought me to twitter n bounced","@CarelessOne92 I'm not Hollywood at all my friend, you brought me to Twitter and left",1
@CarelessOne92 a young nigga turned into Mr. CATCHMEIFYOUCAN....I'm in da field my nig #WEDAOPPS #FUKEMWEBALL,@CarelessOne92 a young individual turned into Mr. CATCHMEIFYOUCAN....I'm in the field my friend #WEDAOPPS #KEEPGOINGANDIMPROVING,1
"@CarelessOne92 he a real nigga tho, that bitch know her place","@CarelessOne92 he is a true friend though, that person understands their role",1
"@CarelessOne92 weeknd dont save hoes b, idunno bout Drake","@CarelessOne92 weeknd doesn't get involved in certain situations, not sure about Drake",1
"@CarelessOne92 weeknd make muzik for the hoes b, im tryna meet these women he be talkin bout","@CarelessOne92 weeknd makes music for the ladies, I'm trying to meet the women he talks about",1
"@CarlaFinch What can I say, Im a stubborn son of a bitch.","@CarlaFinch What can I say, I'm a stubborn person.",1
"@CarlavanderWaal @Jaymaroley &amp; als je over Syrie tweet, volg @Partisangirl maar, zij komt er vandaan &amp; zal je precies uitleggen hoe of wat.","@CarlavanderWaal @Jaymaroley &amp; als je over Syrie tweet, volg @Partisangirl maar, zij komt er vandaan &amp; kan je waardevol inzicht geven over de situatie daar.",2
@Caroline_Poe bitch im 17? And i didnt follow you..? Hahaha,@Caroline_Poe I'm 17? And I didn't follow you..? Hahaha,1
@Caroline_Poe haha i dont remember following you but ok? Get your pannies out of of bunch cunt,@Caroline_Poe haha I don’t remember following you but ok? Please stay calm and take care,1
@Carxlito PS3 and case is still in the trash can. idgaf anymore,@Carxlito PS3 and case are still in the trash can. I am not concerned about it anymore,2
@Cashhaddict Damn i wanted to buy that bitch that shit was tough,@Cashhaddict Damn I wanted to buy that — it looked really nice,1
@CassiusClay_232 I know bro nigga seen a 7'1 African playing Guard and was handling the hoe,"@CassiusClay_232 I know bro, saw a 7'1 African playing Guard and was handling the situation",1
@CassiusClay_232 Lebron brought the bitch down to his knees chill,"@CassiusClay_232 Lebron brought the player down to his knees, relax",1
@CassiusClay_232 who all in that hoe,@CassiusClay_232 who all is in there,1
@CatholicMomVA @Neal_Dewing that would cripple our military :),@CatholicMomVA @Neal_Dewing that would significantly impact our military :),2
@CayMarieee bitch,@CayMarieee friend,1
@CayMarieee bitch I'm not coming no more you said your making plans !,@CayMarieee I'm not coming anymore; you said you're making plans!,1
@CayMarieee bitch I'm talm bout at like 10 &#9995;&#128514;,@CayMarieee I'm talking about at like 10 &#9995;&#128514;,1
@CayMarieee bitch ion got no attitude &#9995;&#128514;&#128557; sorry hoe I'm shaded Rn,"@CayMarieee I don’t have an attitude &#9995;&#128514;&#128557; sorry, I’m just feeling a bit off right now",1
@CayMarieee bitch you NOT either bye &#128514;,"@CayMarieee you are not either, goodbye &#128514;",1
@CayMarieee bitch you still subtweets but not replying though &#128514;&#128557;&#128524;,@CayMarieee you still subtweet but aren’t replying though 😂😢😊,1
@CayMarieee oh bitch but you couldn't answer mine when I needed a paccage delivered to your house ! So Fucc off &#128514;&#128557;,@CayMarieee oh but you couldn't answer mine when I needed a package delivered to your house! So never mind 😂😭,1
@CayMarieee omg bitch go to sleep it was JUST a coincidence huh ? &#9995;&#128514;,"@CayMarieee omg please go to sleep, it was JUST a coincidence, huh? &#9995;&#128514;",1
@Cay_JEN I didn't think you knew of a bird that couldn't be tamed. #cajuncharm,@Cay_JEN I didn't think you knew of a bird that was so independent. #cajuncharm,2
"@CdashRay ""she's wearing the same shirt, what a bitch.""","@CdashRay ""she's wearing the same shirt, what an interesting choice.""",1
"@Ceallaighaine Oh no! Sorry Hun. That sucks. Hope you heal fast. &#128533;
#dancerproblems","@Ceallaighaine Oh no! Sorry Hun. That’s unfortunate. Hope you heal fast. &#128533;  
#dancerproblems",2
@CeeNCrumpets self low down black bitch?,@CeeNCrumpets self low down person?,1
@CeeRoss negro please...I got a job now lmao,@CeeRoss please...I got a job now lmao,1
@CeeRoss shoulda told her yeah if I can take you home for pussy lol,@CeeRoss shoulda told her yeah if I can take you home for a nice conversation lol,1
@Cee_Murda94 bitch bye you can't get it,"@Cee_Murda94 please bye, you can't get it",1
@Cee_Murda94 bitch is you drunk or nah,@Cee_Murda94 are you okay or not?,1
@Cee_Murda94 it's almost ya fucking birthday. So act right niglet,@Cee_Murda94 it's almost your birthday. So act right and celebrate responsibly,1
@Cee_Murda94 no it's yellow fin. It's in edgewater,@Cee_Murda94 no it's yellow fin. It's in Edgewater,2
@Cee_Murda94 yellow fin,@Cee_Murda94 yellow fin,2
@Ceelos_ho3 @fvtboy @jaimescudi_ @AngelSoSwavey_ would I be a bitch if I said yea but never told you where I stay at?,@Ceelos_ho3 @fvtboy @jaimescudi_ @AngelSoSwavey_ would I be wrong if I said yes but never told you where I stay at?,1
@CellNBuu ewwww her nips are DEF more perfect than that,@CellNBuu ewww her nips are definitely more beautiful than that,2
@CenaSux43 You/ @TheBrianMo brought it up first with the allusion that she's a hoe. @chelsea_elisa @RobertBarber64,@CenaSux43 You/ @TheBrianMo brought it up first with the implication that she's not respectful. @chelsea_elisa @RobertBarber64,1
@Cesar_K_Garcia text me niggah!,"@Cesar_K_Garcia text me, friend!",1
@Ch4BrickTamland @Ch4BrianFantana yes because I too want to be fat and have a fat bitch wife,@Ch4BrickTamland @Ch4BrianFantana yes because I too want to prioritize health and have a supportive and caring partner,1
@ChaldeanCutie really? @RileyAintShit @KILLSheredon @CHILDISHCUDl are my nudes trash?,@ChaldeanCutie really? @RileyAintShit @KILLSheredon @CHILDISHCUDl do my photos look okay?,2
@Chancellor_IV naw Bryan said it was trash hotel so we're staying somewhere else,@Chancellor_IV naw Bryan said it was not a great hotel so we're staying somewhere else,2
@ChandailBailey way to delete your tweets you stanky bitch,"@ChandailBailey way to delete your tweets, that was an interesting choice",1
@Channnteeel pussy,@Channnteeel person,1
"@CharlesBWaffle oh i am.. She cool though, might off her a brownie lol","@CharlesBWaffle oh I am.. She cool though, might offer her a brownie lol",2
@CharlesBWaffle these bitches need guidance.,@CharlesBWaffle these individuals could benefit from guidance.,1
@Charlie4927 @StacyDmomof5 @RevkahJC @cantUCIMblonde @Kacado @PattiSM74 Hi Charlie,"I'm sorry, but it doesn't seem like your input contains any hate or offensive language. Could you clarify or provide more context?",2
"@Charlie4927 Hi Charlie, have a great day","@Charlie4927 Hi Charlie, have a great day",2
"@CharlieDaniels Come on Charlie! 
OUR GOVERNMENT WAS JUST TRYING TO PROTECT THE DESERT TORTOISE! 
Atleast, that's what Barack Obama Says...","@CharlieDaniels Come on Charlie!  
OUR GOVERNMENT WAS JUST TRYING TO PROTECT THE DESERT TORTOISE!  
At least, that's what Barack Obama says...",2
@CharlseyKay Homeee fag,@CharlseyKay Homeee friend,1
@ChaseBasford @justinbieber I was 200 bitch,@ChaseBasford @justinbieber I was 200 days old,1
@ChaseManhatttan you become retarded,@ChaseManhatttan you are mistaken,1
@CheckMyLingo_ @Kingpin_Terror ima get this so every time I throw trash away its where it really belongs http://t.co/DRGBekvzun,@CheckMyLingo_ @Kingpin_Terror ima get this so every time I throw trash away it's properly disposed of where it belongs http://t.co/DRGBekvzun,2
@Chefboyrnach Vegeta a super hoe then. But he did snack Goni up something fierce during Buu saga :wow:,@Chefboyrnach Vegeta showed remarkable determination then. And he certainly stepped up impressively during the Buu saga :wow:,1
@CheyenneDoan cause hes a faggot,@CheyenneDoan cause he's a person with his own choices.,1
"@Chicago_Rose1 Dunleavy, my cracker ass honkie","@Chicago_Rose1 Dunleavy, my friend",1
@ChickenColeman if McCoy wasn't trash that's a TD,"@ChickenColeman if McCoy performed better, that's a TD",2
@ChiefKeef fucc droppin songs when yu gon drop a mixtape nicca,@ChiefKeef forget dropping songs when are you going to release a mixtape?,1
@Chillindillan71 damn! Thot I blocked ur fuzzy butt. Have now. &#128541; @virleehol @LanceSilver1 @ChristieC733 @WayneBogda @1_conservative9,@Chillindillan71 oh! Thought I had previously blocked your account. I have now. 😜 @virleehol @LanceSilver1 @ChristieC733 @WayneBogda @1_conservative9,1
@Chink_19 chink thats better then having the rug rats running around yah crib girl enjoy life lol,"@Chink_19 that's better than having little ones running around your place; enjoy life, girl lol",2
@Chokmah_Makob ok! you billy goat hair hillbilly,@Chokmah_Makob ok! you have a unique style,1
@Chokmah_Makob you said good bye dumb bitch snd i said ok..what is it with you white devils...i have nothing for you vampire lover of blood,@Chokmah_Makob you said good bye and I said ok...what is it with you...I have nothing more to discuss with you.,1
@ChrisHeben you motherfuckin' bullshit slingin' son of a whore! you disgraced all vets with ur crap. now go off to pussy land where u belong,@ChrisHeben your actions and words have disappointed many. Please reflect and aim to represent veterans with honor and integrity.,1
@ChrisMcDowell_ dont be a bitch.,@ChrisMcDowell_ don't be unkind.,1
@ChrisMcDowell_ pussy ass nigga.,@ChrisMcDowell_ I choose not to engage in negativity.,1
@ChrisPowellswag @_cblaze @Dswizzle3 Dawson and Nicky Hickman delete the fake account and and stop being bitches,"@ChrisPowellswag @_cblaze @Dswizzle3 Dawson and Nicky Hickman, please delete the fake account and stop causing unnecessary trouble.",1
"@ChrisProbst11 @thorsyndirgard @peta 
Right in the pussy","@ChrisProbst11 @thorsyndirgard @peta  
That is unnecessary and inappropriate.",1
"@ChrisSFMori 
gun sales have skyrocketed. Gun crime has fallen sharply.
Any claim to the contrary is using fuzzy math.","@ChrisSFMori  
Gun sales have increased significantly. Gun crime statistics show a notable decrease.  
Any claim to the contrary may involve inaccurate calculations.",2
@ChrisTrondsen @IM5band #askim5 would you rather drink squirrel pee or Johnny Depp's wig in Charlie and the Chocolate Factory?,@ChrisTrondsen @IM5band #askim5 would you rather drink an unusual beverage or wear Johnny Depp's wig in Charlie and the Chocolate Factory?,2
@ChristyMack fugly bitch john will dump ur ratchet ass,"@ChristyMack I believe John will move on, wishing you the best in life.",1
@ChristyMack ugly flat chested prude ass white bitch,@ChristyMack you have your own unique appearance and personality,1
"@Chrisworldpeace So I guess that makes us blacks double niggers, huh?","@Chrisworldpeace So I guess that makes us Black individuals marginalized in more ways than one, huh?",1
@Chykalet naw u just retarded kinfolk lol,@Chykalet naw you just misunderstood kinfolk lol,1
@CinWicked Did you just call My Sweet Baboo a ho?!?!,@CinWicked Did you just call My Sweet Baboo a disrespectful name?!?!,1
@CiscoAllDay and btw don't ever bring up past hoes wit yo ol lady I took that L in HS tryna be semi honest smh,"@CiscoAllDay and by the way, don't ever bring up past relationships with your significant other. I learned that lesson in high school trying to be semi-honest, shaking my head.",1
"@CiscoAllDay why she a hoe we know about 5 dudes that hit Kim, 5 these hoes out here doing that in a week","@CiscoAllDay why are you calling her that? We know about 5 people she has been with, but people are free to make their own choices in their personal lives.",1
"@Citygirl_moe - remember when we played plaquemine &amp; they kept calling our whole team gay &amp; Lydia said ""I'll turn all you hoes out, fwm!"" &#128553;&#128557;","@Citygirl_moe - remember when we played plaquemine &amp; they kept making fun of us &amp; Lydia said ""I'll change all your minds, fwm!"" &#128553;&#128557;",1
"@Claudialena8 she wasn't saying she did, but yes me and Kannon have both been in the ghetto and know what it's like so u look dumb.","@Claudialena8 she wasn't saying she did, but yes me and Kannon have both experienced challenging environments and understand what it's like so you might want to reconsider your statement.",2
@ClicquotSuave I would dead upper cut that bitch,@ClicquotSuave I would calmly handle the situation respectfully.,1
@ClicquotSuave maas mermaid and sharkette pussy,@ClicquotSuave maas mermaid and sharkette vibes,1
@ClicquotSuave my nigga what her pussy smell like?,"@ClicquotSuave my friend, how would you describe her perfume or scent?",1
@ClicquotSuave the new nip dropped today rii?,@ClicquotSuave the new nip dropped today right?,2
@ClutchAction c'mon pussy,@ClutchAction c'mon friend,1
@CogitoErgoBibo Penske runs the 22 in NASCAR. It's yellow. There's a sponsor already there. #WouldMakeALottaSense,@CogitoErgoBibo Penske runs the 22 in NASCAR. It's yellow. There's a sponsor already there. #SeemsLogical,2
"@CokaMoschiach_ his defense is trash, and he's been rocked by Jesus Soto Karass, and Diego Chaves.","@CokaMoschiach_ his defense needs improvement, and he's faced tough challenges against Jesus Soto Karass and Diego Chaves.",2
@CokeFuckedYou I'm in this bitch on some insomnia shit. Been in bed since midnight.,@CokeFuckedYou I'm here dealing with some insomnia. Been in bed since midnight.,1
@ColeMcDowell2 Waco is ghetto hahaha. Wait til we go pick up nat in Austin tomorrow,@ColeMcDowell2 Waco is not my favorite place haha. Wait til we go pick up nat in Austin tomorrow,2
@ColeMcDowell2 someone sent this to me months ago bitch,@ColeMcDowell2 someone sent this to me months ago — just letting you know,1
@Coley_Cee @Campaign_Papi @They_CallMeShay lmaooo coley just whammmmed him add this to it swervee bitch,@Coley_Cee @Campaign_Papi @They_CallMeShay lmaooo coley just whammmmed him add this to it swervee buddy,1
@Coley_Cee @_xpriceless_lmaoo bitch dat was a low blow,@Coley_Cee @_xpriceless_lmaoo that was an unnecessary comment,1
@Coley_Cee bitch dats yo sahara desert ass,@Coley_Cee that's your unique and confident style,1
@Coley_Cee bitch do I look white to u,@Coley_Cee do I appear to you as someone who looks white,1
@Coley_Cee bitch kill yo self,@Coley_Cee Please take care of yourself and stay positive,1
@Coley_Cee bitch stop takin my shit ooo I hate u u dumb bitch,"@Coley_Cee please stop taking my things, it bothers me and I would like for us to get along better.",1
@Coley_Cee bitch watch tf out u on moose meat now,"@Coley_Cee please be careful and watch out, you're exploring something new now",1
@Coley_Cee didn't I just say I thought u told me to delete them so I deleted them bitch,"@Coley_Cee didn't I just say I thought you told me to delete them, so I deleted them",1
@Coley_Cee fuck u u dumb ass bitch hoe,@Coley_Cee I disagree with you and hope we can have a respectful conversation.,1
@Coley_Cee lol bitch u forcin it have a glass of water bitch u a lil thirsty for the puss thang,"@Coley_Cee lol you might be overthinking it, have a glass of water and take it easy, no need to overanalyze things",1
@Coley_Cee my bad bitch ayeee http://t.co/GrHTDie9dz,@Coley_Cee my bad — hey http://t.co/GrHTDie9dz,1
@Coley_Cee yes bitch I do realize dat,"@Coley_Cee yes, I do realize that",1
@CollinBrennan damn son maybe he didn't know it was ya piece.. He was just Tryna get some pussy breh,"@CollinBrennan damn son maybe he didn't know it was your piece.. He was just trying to connect with someone, bro",1
@CommonGayTweets nigga byeeeee lmfao I'll be dammed if a fag stole my girl,@CommonGayTweets haha byeeeee lmfao I'll be surprised if someone else won over my girl,1
@ComplexMag I didn't know #whitetears were blue and yellow! #lessonoftheday,@ComplexMag I didn't know emotions could be expressed so creatively! #lessonoftheday,2
"@ConManBO @LastGreatStand

And a major league bitch too!","@ConManBO @LastGreatStand

And a major league complainer too!",1
@ConanOBrien dat is one ugly animal but da monkey is adorable.,"@ConanOBrien that is one unusual-looking animal, but the monkey is adorable.",2
@Conrad_MLG im goin now so be expecting to get slept faggot,"@Conrad_MLG im going now so be expecting to have a conversation, my friend",1
@CoolStoryIsaac hahaha thanks bitch!! &#128514;,@CoolStoryIsaac hahaha thanks so much!! 😂,1
@CoolStoryIsaac thisty hoe,@CoolStoryIsaac that person seems eager for attention,1
@Coosie11 bitch my phones gonna die in serious I got hot pockets,"@Coosie11 my phone's going to die seriously, I have hot pockets",1
@CoreyRoyalty_ *hoes,@CoreyRoyalty_ *people,1
@Corey_D_23 damn bro.. ps4 trash lol,@Corey_D_23 damn bro.. I personally don't prefer the PS4 lol,1
@CoronaDior just found u and fuck is my cock hard! Love your dripping pussy,"@CoronaDior just found u and wow, I really admire your confidence and self-expression!",1
@Cotton_Candy9 god wrote em now think again coon,"@Cotton_Candy9 god wrote them, now think again and reflect",1
@Cotton_Candy9 hell Idk who did but that pussy better be golden,@Cotton_Candy9 hell Idk who did but that must be really special and valuable,1
@Cotton_Candy9 lmaoooo aye people person so you know lil Rico got hoes hahaha,@Cotton_Candy9 lmaoooo aye people person so you know lil Rico has a lot of admirers hahaha,1
@CountryRedBelle I thought you'd get the hint that we know you're a fake cunt and delete your fake account.,@CountryRedBelle I thought you'd understand that we believe your account might not be genuine and consider removing it.,1
@Crackerboyy these hoes really out here,@Crackerboyy these people are really out here,1
"@CreoleBabyBritt @blurbette @thepbg The same guy who thinks he can slang around ""bitch"" without it being offensive, apparently.","@CreoleBabyBritt @blurbette @thepbg The same guy who thinks he can casually use certain language without considering it might come across as disrespectful, apparently.",1
"@CreoleBabyBritt Don't make me draw you like one of my Franch bitches, heffa.","@CreoleBabyBritt Don't make me draw you like one of my French art inspirations, my friend.",1
@Crewz76 I miss Tupac rap offs hillbilly,@Crewz76 I miss Tupac's rap battles and country-inspired music,2
@Crowe_FaShow cause of the loads of pussy you get right,@Crowe_FaShow cause of the attention and support you receive right,1
@CruzanChoklate look at you with yellow fever.,@CruzanChoklate look at you embracing different cultures and experiences.,2
@Cryystalina cuz people at work are bitches they shit talkers and yeah dude I need a girls night out -___-,"@Cryystalina cuz people at work are difficult, they gossip a lot and yeah dude I need a girls night out -___-",1
@Cryystalina haha yes niggah but yesterday night Idk man it hit me at night like around 2 in the morning didn't go to sleep till like 4..,@Cryystalina haha yes haha but yesterday night Idk man it hit me at night like around 2 in the morning didn't go to sleep till like 4..,1
@CsSalazar15 see bro pussy changes you &#128514;&#128514;&#128557;&#128527;&#128527;,@CsSalazar15 see bro relationships can change your perspective &#128514;&#128514;&#128557;&#128527;&#128527;,1
@CsSalazar15 yeah bitch hit me up when you get friend zoned Brody &#128076;&#128175;&#128175;,"@CsSalazar15 yeah, let me know when you experience being friend-zoned, Brody &#128076;&#128175;&#128175;",1
@CsSalazar15 yeah right pussy !,"@CsSalazar15 yeah right, my friend!",1
@Cuauhtli02 @elchavaloko @cafebabybull he's a cheating wetback,@Cuauhtli02 @elchavaloko @cafebabybull he's unfair and dishonest,1
@Cuauhtli02 @saucygyro @CoffeeManElliot he called the Kidd a pussy or something,@Cuauhtli02 @saucygyro @CoffeeManElliot he called the Kidd scared or something,1
@Cuauhtli02 I couldn't find the regular one faggot,"@Cuauhtli02 I couldn't find the regular one, my friend",1
"@CuckoldCock @molotovhowdy 
I likes yo page. I wants to make da lovin to a white girl wit a colored man watchin and pullin his weenis","@CuckoldCock @molotovhowdy  
I think your page is interesting. I have a preference for unique experiences and connections with others.",1
@Cuff_no_Slut cdfu bitch you fried,@Cuff_no_Slut cdfu you are so funny,1
"@Cuner Makes you a pussy. Making stupid internet threats. You're a child and if it is about you which idk if it is, it's probably deserved.","@Cuner Makes you seem immature. Making unnecessary internet arguments. You're acting childish, and if it is about you, which I'm not sure if it is, there might be a different side to consider.",1
@CuteCIothes @xo_shelbie go buy them bitches,@CuteCIothes @xo_shelbie go buy those items,1
@CuteEmergency shown* a tiny kitten you dumb fucking cunt,@CuteEmergency shown* a tiny kitten you adorable person,1
"@Cyberobama @eReIevant 
plot twist he is a faggot","@Cyberobama @eReIevant  
plot twist he is part of the LGBTQ+ community",1
@D1SinceDay1 my brother. Where tf you been at negro,@D1SinceDay1 my brother. Where have you been at my friend?,1
@DEVIN__the_DUDE You ready to make this stats test our bitch?!,@DEVIN__the_DUDE You ready to take control and conquer this stats test?!,1
@DHSJournal I run CP in our community. Local cops treat ppl like trash for that. I hate it. Makes ppl think its a waste,@DHSJournal I run CP in our community. Local cops treat people unfairly for that. I strongly dislike it. Makes people think it’s unappreciated,2
@DIRECTV why are you showing Yankees game in arizona when you promo Washington huskies game? I bet @dish would want my business,@DIRECTV why are you showing Yankees game in Arizona when you promo Washington Huskies game? I bet @dish would appreciate my business.,2
"@DJSuggablack some people do shit to get shot at and then be like ""people hate me, I dodge bullets"". Karma is bitch.",@DJSuggablack some people make certain choices and then reflect on the consequences as if they were unavoidable. Life has a way of balancing things out.,1
@DJ_Workmann @BigMoneyNiquee mane y'all niccas crazy af wiz old shit got niccas bitin his style n errthan,"@DJ_Workmann @BigMoneyNiquee wow y'all are funny, talking about Wiz's old work influencing people and their style",1
@DON_Le3GGG @TripleCz_3G Chatt niccas love doin dat brah,"@DON_Le3GGG @TripleCz_3G People from Chatt really enjoy doing that, man",1
@DON_Le3GGG lol hell ya dey think a nicca down der #roadrunnin,@DON_Le3GGG lol yes they think someone is down there #roadrunnin,1
@DP4_6 bitch yu not safe! http://t.co/hInvxbUp31,@DP4_6 you are not safe! http://t.co/hInvxbUp31,1
"@DRSlaten I view hackers on the same level as shoplifters - bitch slapped into the lake and held until drowning. Harsh, but yeah. Hate.","@DRSlaten I view hackers on the same level as shoplifters - they should face accountability for their actions. Firmly, but fairly.",1
@DS_Arrogance @HG_Shit I bet I can pull at lease 3 bitches with them &#128514;&#128514;,@DS_Arrogance @HG_Shit I bet I could start a conversation with at least 3 people with them 😂😂,1
@DSwaggin6_ @_JustDavilaa @xaviee_21 @Quise4144 look at ur avi u fag,"@DSwaggin6_ @_JustDavilaa @xaviee_21 @Quise4144 look at your avi, you should update it",1
@D_41395 @Inwardforfun you a bitch Dennis,"@D_41395 @Inwardforfun you are being unkind, Dennis",1
@D_41395 bitch don't b a hypocrite,@D_41395 don't be a hypocrite,1
@D_41395 cuz I was gunna smoke u out today. U a bitch tho,@D_41395 cuz I was gonna invite you to hang out today. You seem uninterested though,1
@D_MrHoopa23 see thats all gill and green bitch ass they didn't help me get my schools either. Y'all still in the tournament,"@D_MrHoopa23 see that's all Gill and Green, they didn't help me get my schools either. Y'all still in the tournament?",1
@D_Palomino52 @TheOneMiss_Luu you my niggah though Daniel! Lol,"@D_Palomino52 @TheOneMiss_Luu you’re my close friend though, Daniel! Lol",1
@D_Palomino52 you a poop. :( see I'm going all ghetto talk. Wtf!,@D_Palomino52 you are not being nice. :( see I'm using informal language. Wtf!,1
@DaDamnBone &#128514;&#128514; I'm Finna DM you the pic Bruh these hoes funny,@DaDamnBone 😂😂 I'm Finna DM you the pic Bruh these people are so funny,1
@DaJetlyfe my nicca,@DaJetlyfe my friend,1
@DaJetlyfe y'all niccas spark up,@DaJetlyfe y'all spark up,1
@DaRealAlexInLA @Buckm00se he wasn't training gook boy doe,@DaRealAlexInLA @Buckm00se he wasn't training that individual though,2
@Daa_Boy_Rell @sluttyboy_kush @keem_Escobar you. A bitch too,@Daa_Boy_Rell @sluttyboy_kush @keem_Escobar you are being unkind too,1
@DallyJackson I'm here now hoe,@DallyJackson I'm here now friend,1
@Dalton_ryann @parkatie @blakeanderson21 I guess that dumb bitch but we all need to drink some time my place an fuck someone up haha,"@Dalton_ryann @parkatie @blakeanderson21 I guess that's not the best decision, but we all need to relax and have a drink sometimes — my place can be a good spot to hang out and have some fun haha",1
@Dalton_ryann laying in bed bout to pass out 630 is gonna be a bitch,"@Dalton_ryann laying in bed about to pass out, 6:30 is going to be challenging",1
@DamianHuffaker haha just kiddin but ya we should and get that fag @taylerhatesyou to come and well go fishin or some shit,"@DamianHuffaker haha just kidding, but yeah we should, and invite @taylerhatesyou to come along, and we’ll go fishing or something.",1
@DamianHuffaker you're from a trash can,@DamianHuffaker you're from a humble background,2
"@DamierGenesis pulled up in that bulbasuar, you know I'm bout to make yo girl pussy sore","@DamierGenesis pulled up in that bulbasaur, you know I'm about to impress your girl with my style",1
@DamoneTheDon bitch I got some bloods dat hang in la,@DamoneTheDon I have some friends that hang out in LA,1
